Rating;Year;Date;Player;Salary;Position;Bat_Order;Opp_Pitcher;Opp
4.5;2021;04/01/2021;91.65;Gavin Lux (L);$3800;2B;7;LAD
4.5;2021;04/01/2021;90.60;Mookie Betts (R);$5900;OF;1;LAD
4.5;2021;04/01/2021;90.45;Corey Seager (L);$5600;SS;2;LAD
4.5;2021;04/01/2021;90.15;Justin Turner (R);$4700;3B;3;LAD
4.5;2021;04/01/2021;90.15;C. Bellinger (L);$5800;OF;4;LAD
4.5;2021;04/01/2021;90.00;Max Muncy (L);$5200;1B;5;LAD
3.4;2021;04/01/2021;88.90;Tommy Pham (R);$3100;OF;1;SD
6.7;2021;04/01/2021;87.90;C.J. Cron (R);$3800;1B;5;COL
6.7;2021;04/01/2021;87.60;Raimel Tapia (L);$3400;OF;1;COL
4.5;2021;04/01/2021;85.40;Chris Taylor (R);$4300;2B/OF;2B;OF
6.7;2021;04/01/2021;84.20;Elias Diaz (R);$2700;C;6;COL
3.4;2021;04/01/2021;83.45;Aaron Hicks (S);$3500;OF;3;NYY
6.7;2021;04/01/2021;82.05;C. Blackmon (L);$5000;OF;4;COL
3.8;2021;04/01/2021;81.95;Jorge Soler (R);$2800;OF;5;KC
6.7;2021;04/01/2021;81.55;Josh Fuentes (R);$3400;1B/3B;1B;3B
3.4;2021;04/01/2021;80.95;F. Tatis Jr. (R);$5700;SS;2;SD
6.7;2021;04/01/2021;80.80;Trevor Story (R);$5500;SS;3;COL
3.4;2021;04/01/2021;80.75;J. Cronenworth (L);$3900;2B;6;SD
3.4;2021;04/01/2021;80.40;G. Torres (R);$3900;SS;5;NYY
3.8;2021;04/01/2021;80.10;C. Santana (S);$3600;1B;3;KC
3.3;2021;04/01/2021;79.40;Jordan Luplow (R);$2200;OF;1;CLE
6.7;2021;04/01/2021;79.30;G. Hampson (R);$2900;2B/OF;2B;OF
3.4;2021;04/01/2021;79.15;Manny Machado (R);$5700;3B;3;SD
3.4;2021;04/01/2021;79.00;J. Profar (S);$3200;1B/OF;1B;OF
3.4;2021;04/01/2021;78.70;Aaron Judge (R);$5000;OF;2;NYY
3.4;2021;04/01/2021;78.50;G. Stanton (R);$4400;OF;4;NYY
3.4;2021;04/01/2021;78.40;DJ LeMahieu (R);$5000;2B/3B;2B;3B
3.4;2021;04/01/2021;77.60;A. Meadows (L);$3600;OF;2;TB
3.4;2021;04/01/2021;76.65;Wil Myers (R);$4700;OF;5;SD
3.8;2021;04/01/2021;76.20;A. Benintendi (L);$4000;OF;2;KC
3.4;2021;04/01/2021;75.35;Eric Hosmer (L);$4900;1B;4;SD
3.9;2021;04/01/2021;73.95;Adam Eaton (L);$3500;OF;2;CWS
3.8;2021;04/01/2021;73.65;W. Merrifield (R);$5200;OF;1;KC
3.3;2021;04/01/2021;72.90;Franmil Reyes (R);$3900;OF;5;CLE
4.5;2021;04/01/2021;72.60;Austin Barnes (R);$3800;C;8;LAD
3.4;2021;04/01/2021;72.50;V. Caratini (S);$2600;C;8;SD
6.7;2021;04/01/2021;72.00;Chris Owings (R);$2800;OF/SS;OF;SS
3.9;2021;04/01/2021;71.65;Nick Madrigal (R);$2600;2B;9;CWS
3.3;2021;04/01/2021;71.50;Jose Ramirez (S);$5600;3B;3;CLE
3.4;2021;04/01/2021;71.05;Yandy Diaz (R);$3500;1B/3B;1B;3B
3.3;2021;04/01/2021;71.00;Josh Naylor (L);$2300;OF;6;CLE
3.7;2021;04/01/2021;70.95;D. Solano (R);$3500;2B;3;SF
3.3;2021;04/01/2021;70.20;Eddie Rosario (L);$4400;OF;4;CLE
3.6;2021;04/01/2021;70.15;Alec Bohm (R);$3100;3B;5;PHI
4.1;2021;04/01/2021;70.15;M. Brantley (L);$3800;OF;2;HOU
3.7;2021;04/01/2021;70.00;M. Yastrzemski (L);$4700;OF;2;SF
3.4;2021;04/01/2021;69.80;Y. Tsutsugo (L);$3300;1B/OF;1B;OF
4.8;2021;04/01/2021;69.35;Joey Gallo (L);$3600;OF;3;TEX
3.3;2021;04/01/2021;69.10;C. Hernandez (S);$4300;2B;2;CLE
5.2;2021;04/01/2021;68.85;Ketel Marte (S);$2700;2B/OF;2B;OF
2.7;2021;04/01/2021;68.80;Joc Pederson (L);$3400;OF;5;CHC
3.6;2021;04/01/2021;68.65;A. McCutchen (R);$3900;OF;1;PHI
4.8;2021;04/01/2021;68.60;David Dahl (L);$2500;OF;2;TEX
3.4;2021;04/01/2021;67.60;Jay Bruce (L);$2300;1B;8;NYY
3.9;2021;04/01/2021;67.55;Y. Grandal (S);$4300;C;5;CWS
3.9;2021;04/01/2021;67.55;Tim Anderson (R);$5000;SS;1;CWS
3.4;2021;04/01/2021;67.35;R. Arozarena (R);$5300;OF;3;TB
3.9;2021;04/01/2021;67.35;Mitch Haniger (R);$3400;OF;1;SEA
3.4;2021;04/01/2021;67.15;Brandon Lowe (L);$4600;2B;4;TB
3.7;2021;04/01/2021;66.95;Austin Slater (R);$3700;OF;1;SF
3.9;2021;04/01/2021;66.85;Yoan Moncada (S);$4600;3B;4;CWS
3.7;2021;04/01/2021;66.65;Brandon Belt (L);$4000;1B;5;SF
4.1;2021;04/01/2021;66.40;Myles Straw (R);$2300;OF;8;HOU
3.8;2021;04/01/2021;66.05;Hunter Dozier (R);$4100;1B/3B;1B;3B
4.8;2021;04/01/2021;65.95;Nick Solak (R);$2900;2B/OF;2B;OF
3.4;2021;04/01/2021;65.50;E. Suarez (R);$4000;3B/SS;3B;SS
3.4;2021;04/01/2021;65.50;Jesse Winker (L);$4000;OF;1;CIN
3.6;2021;04/01/2021;65.50;Jorge Polanco (S);$3300;2B/SS;2B;SS
3.5;2021;04/01/2021;65.50;C. Yelich (L);$5600;OF;3;MIL
3.6;2021;04/01/2021;65.45;Bryce Harper (L);$5500;OF;3;PHI
4.2;2021;04/01/2021;65.00;Mike Trout (R);$6000;OF;3;LAA
4;2021;04/01/2021;64.95;Mark Canha (R);$4300;OF;1;OAK
4;2021;04/01/2021;64.95;R. Laureano (R);$4100;OF;2;OAK
3.8;2021;04/01/2021;64.90;S. Perez (R);$5200;C;4;KC
4.1;2021;04/01/2021;64.75;Kyle Tucker (L);$4000;OF;4;HOU
4.2;2021;04/01/2021;64.70;Shohei Ohtani (L);$4500;1B/OF;1B;OF
3.4;2021;04/01/2021;64.50;Gio Urshela (R);$4300;3B;6;NYY
2.7;2021;04/01/2021;64.25;Anthony Rizzo (L);$4800;1B;3;CHC
3.5;2021;04/01/2021;64.15;Kolten Wong (L);$4100;2B;1;MIL
3.8;2021;04/01/2021;64.05;Nicky Lopez (L);$2100;2B;9;KC
3.6;2021;04/01/2021;64.00;Rhys Hoskins (R);$5000;1B;2;PHI
5.2;2021;04/01/2021;63.95;Josh Rojas (L);$2600;2B/SS;2B;SS
